epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4255,1.00043,1.63274,1.35778,0.67819,0.59935,0.65978,0.43987,1.1385,2.0142,1.5649,0.000551457,0.000551457,0.000551457
2,41.7908,1.03292,1.15429,1.35808,0.68569,0.63424,0.68955,0.48329,1.15687,1.26779,1.48952,0.00107059,0.00107059,0.00107059
3,59.7755,1.03793,1.13101,1.35552,0.61403,0.67935,0.62823,0.39488,1.19775,1.5349,1.63419,0.00155305,0.00155305,0.00155305
4,77.5476,0.96247,0.9591,1.29044,0.8109,0.73747,0.85449,0.62763,0.93211,1.00787,1.30214,0.00150197,0.00150197,0.00150197
5,95.4409,0.92735,0.89786,1.27183,0.80611,0.86048,0.90697,0.67389,0.92736,0.82341,1.27828,0.00144696,0.00144696,0.00144696
6,113.346,0.88526,0.8385,1.23089,0.87327,0.79383,0.90281,0.65458,0.9219,0.86612,1.28402,0.00139195,0.00139195,0.00139195
7,131.136,0.85206,0.78927,1.22282,0.86435,0.90778,0.9495,0.73264,0.85883,0.66215,1.22234,0.00133693,0.00133693,0.00133693
8,149.104,0.79918,0.75023,1.1844,0.92026,0.94033,0.97282,0.76773,0.80007,0.55839,1.16657,0.00128192,0.00128192,0.00128192
9,167.08,0.78132,0.69841,1.17313,0.93789,0.90734,0.97116,0.77472,0.77219,0.53907,1.14208,0.00122691,0.00122691,0.00122691
10,185.049,0.745,0.65498,1.14982,0.90354,0.91785,0.96454,0.77361,0.72222,0.54589,1.11517,0.0011719,0.0011719,0.0011719
11,202.879,0.73354,0.62058,1.13476,0.96118,0.9318,0.97941,0.79824,0.70445,0.47736,1.07212,0.00111689,0.00111689,0.00111689
12,220.832,0.69987,0.60471,1.1204,0.9474,0.90098,0.97216,0.75997,0.72077,0.51254,1.1163,0.00106188,0.00106188,0.00106188
13,238.685,0.69368,0.58703,1.10912,0.93366,0.92671,0.97116,0.81123,0.69384,0.48926,1.07205,0.00100687,0.00100687,0.00100687
14,256.603,0.65534,0.55082,1.09659,0.94585,0.9433,0.96584,0.82136,0.62111,0.45921,1.01249,0.000951857,0.000951857,0.000951857
15,274.506,0.61916,0.5124,1.06881,0.95096,0.94615,0.981,0.83608,0.61417,0.43583,1.01196,0.000896846,0.000896846,0.000896846
16,292.44,0.60383,0.50198,1.05854,0.93399,0.94731,0.97732,0.81946,0.65021,0.4334,1.04472,0.000841835,0.000841835,0.000841835
17,310.213,0.60503,0.48073,1.05905,0.9399,0.96034,0.97631,0.83464,0.60224,0.41543,0.99654,0.000786824,0.000786824,0.000786824
18,327.973,0.57595,0.46521,1.04363,0.96861,0.94909,0.98289,0.85136,0.61487,0.38369,1.00117,0.000731813,0.000731813,0.000731813
19,345.833,0.56703,0.44466,1.03986,0.95777,0.96595,0.98768,0.85954,0.55335,0.37344,0.95782,0.000676802,0.000676802,0.000676802
20,363.733,0.55631,0.4316,1.03129,0.97343,0.96756,0.98727,0.8627,0.55705,0.34073,0.95295,0.000621791,0.000621791,0.000621791
21,382.659,0.51283,0.36935,1.0115,0.93309,0.96103,0.97517,0.84022,0.61303,0.42655,0.98498,0.00056678,0.00056678,0.00056678
22,400.745,0.49143,0.35235,0.99284,0.95688,0.97283,0.98587,0.86178,0.55901,0.37528,0.96231,0.000511769,0.000511769,0.000511769
23,419.057,0.47111,0.33472,0.97578,0.96227,0.96851,0.98393,0.88279,0.53032,0.3521,0.95477,0.000456758,0.000456758,0.000456758
24,437.138,0.44937,0.30787,0.95757,0.97553,0.97314,0.99079,0.88373,0.52492,0.32416,0.93995,0.000401747,0.000401747,0.000401747
25,454.984,0.43314,0.29184,0.9487,0.98056,0.98021,0.99243,0.89326,0.50436,0.30984,0.92154,0.000346736,0.000346736,0.000346736
26,473.039,0.41388,0.26958,0.93519,0.97608,0.98527,0.99287,0.90023,0.4804,0.28098,0.90517,0.000291725,0.000291725,0.000291725
27,491.088,0.39594,0.25562,0.92786,0.98269,0.97867,0.99332,0.91006,0.46516,0.27222,0.89242,0.000236714,0.000236714,0.000236714
28,508.989,0.38304,0.25363,0.92393,0.98334,0.98627,0.99164,0.90913,0.45938,0.2667,0.88873,0.000181703,0.000181703,0.000181703
29,527.001,0.37214,0.23438,0.91612,0.98073,0.98615,0.9937,0.91537,0.44514,0.25199,0.881,0.000126692,0.000126692,0.000126692
30,544.798,0.35489,0.22207,0.90565,0.98222,0.98367,0.99398,0.92273,0.42668,0.24442,0.86682,7.1681e-05,7.1681e-05,7.1681e-05
