epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,3396.93,0.39807,0.28647,0.97545,0.98907,0.99241,0.99468,0.93936,0.40192,0.20685,0.8591,0.000189955,0.000189955,0.000189955
181,3415.72,0.40784,0.2907,0.98114,0.99202,0.99009,0.99467,0.9388,0.40717,0.205,0.86565,0.000181703,0.000181703,0.000181703
182,3434.5,0.3901,0.2796,0.96363,0.99155,0.98972,0.99465,0.94052,0.40731,0.20538,0.86519,0.000173451,0.000173451,0.000173451
183,3453.25,0.40283,0.28964,0.97479,0.99527,0.98762,0.99464,0.94168,0.39858,0.20133,0.8605,0.0001652,0.0001652,0.0001652
184,3472.15,0.39171,0.2833,0.97075,0.99398,0.98807,0.99464,0.94073,0.4026,0.20298,0.86371,0.000156948,0.000156948,0.000156948
185,3490.94,0.3836,0.27013,0.96811,0.99166,0.98807,0.99454,0.9401,0.40245,0.20005,0.86446,0.000148696,0.000148696,0.000148696
186,3509.7,0.38799,0.2748,0.96592,0.9893,0.9915,0.9946,0.94111,0.40057,0.20233,0.86149,0.000140445,0.000140445,0.000140445
187,3528.47,0.38931,0.2812,0.96852,0.99532,0.98898,0.99458,0.94159,0.39393,0.19879,0.85626,0.000132193,0.000132193,0.000132193
188,3547.26,0.40108,0.28939,0.97934,0.9957,0.989,0.99441,0.93977,0.39577,0.19728,0.85461,0.000123941,0.000123941,0.000123941
189,3566.04,0.39553,0.28602,0.974,0.99408,0.98949,0.99442,0.94114,0.39675,0.19948,0.85319,0.00011569,0.00011569,0.00011569
190,3584.87,0.38104,0.27146,0.9659,0.99018,0.99104,0.99448,0.94143,0.3927,0.1983,0.85148,0.000107438,0.000107438,0.000107438
191,3604.52,0.21488,0.13414,0.82217,0.98633,0.98946,0.99422,0.94169,0.39534,0.20011,0.85403,9.91865e-05,9.91865e-05,9.91865e-05
192,3623.44,0.21432,0.13292,0.82194,0.98449,0.99043,0.99425,0.94238,0.39439,0.20072,0.85688,9.09349e-05,9.09349e-05,9.09349e-05
193,3642.29,0.21287,0.13159,0.82588,0.9866,0.99111,0.99425,0.94258,0.39549,0.20232,0.85931,8.26832e-05,8.26832e-05,8.26832e-05
194,3661.36,0.20723,0.12869,0.81862,0.98766,0.99044,0.99443,0.94202,0.39558,0.20302,0.86124,7.44316e-05,7.44316e-05,7.44316e-05
195,3680.32,0.20671,0.12802,0.82086,0.98623,0.99026,0.99445,0.9418,0.39694,0.19958,0.86025,6.61799e-05,6.61799e-05,6.61799e-05
196,3699.18,0.20441,0.12701,0.82124,0.98619,0.99061,0.99447,0.94113,0.39751,0.19939,0.8598,5.79283e-05,5.79283e-05,5.79283e-05
197,3718.15,0.20049,0.12418,0.81762,0.98623,0.9891,0.99446,0.94112,0.39787,0.20282,0.85979,4.96766e-05,4.96766e-05,4.96766e-05
198,3737.02,0.20189,0.12455,0.82602,0.98735,0.98946,0.99438,0.94086,0.40069,0.20256,0.86113,4.1425e-05,4.1425e-05,4.1425e-05
199,3755.82,0.19938,0.12364,0.81949,0.98724,0.98946,0.99447,0.93997,0.40243,0.20137,0.86267,3.31733e-05,3.31733e-05,3.31733e-05
200,3774.63,0.19851,0.12324,0.81879,0.98925,0.98759,0.99447,0.94087,0.40252,0.19993,0.86328,2.49217e-05,2.49217e-05,2.49217e-05
