epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,797.567,0.70683,0.56326,1.16943,0.98719,0.96443,0.98951,0.8671,0.60218,0.34332,0.96364,0.00132868,0.00132868,0.00132868
43,816.537,0.71327,0.54807,1.17062,0.97496,0.98383,0.99337,0.86036,0.59503,0.33682,0.97389,0.00132043,0.00132043,0.00132043
44,835.484,0.69454,0.55009,1.15776,0.97954,0.98218,0.99062,0.86301,0.57907,0.36922,0.96778,0.00131218,0.00131218,0.00131218
45,854.376,0.69473,0.54842,1.15179,0.98229,0.97542,0.98858,0.86,0.58226,0.34877,0.96711,0.00130393,0.00130393,0.00130393
46,873.256,0.6872,0.53385,1.15524,0.97937,0.97851,0.99041,0.84369,0.66412,0.33924,0.99882,0.00129568,0.00129568,0.00129568
47,892.097,0.69247,0.54037,1.15081,0.98257,0.97994,0.99209,0.85228,0.63511,0.338,0.99317,0.00128742,0.00128742,0.00128742
48,910.977,0.68731,0.53708,1.14785,0.96577,0.98625,0.98768,0.86227,0.57304,0.3539,0.94886,0.00127917,0.00127917,0.00127917
49,929.829,0.67616,0.52626,1.14307,0.97926,0.98009,0.98977,0.87474,0.55156,0.32447,0.94636,0.00127092,0.00127092,0.00127092
50,948.813,0.68052,0.52353,1.14641,0.97394,0.97657,0.99131,0.86722,0.58188,0.3417,0.9552,0.00126267,0.00126267,0.00126267
51,967.691,0.68553,0.51796,1.14602,0.98593,0.98306,0.99301,0.87359,0.56489,0.31348,0.93044,0.00125442,0.00125442,0.00125442
52,986.622,0.67399,0.51436,1.14373,0.98212,0.98444,0.99299,0.86631,0.58101,0.31393,0.95306,0.00124617,0.00124617,0.00124617
53,1005.5,0.65344,0.48827,1.12693,0.9819,0.98223,0.99303,0.86389,0.60907,0.31275,0.9645,0.00123791,0.00123791,0.00123791
54,1024.36,0.65111,0.49006,1.13169,0.97461,0.97025,0.9917,0.86566,0.58547,0.32259,0.9585,0.00122966,0.00122966,0.00122966
55,1043.14,0.64598,0.48902,1.12513,0.98181,0.97847,0.99319,0.86191,0.61857,0.33872,0.98472,0.00122141,0.00122141,0.00122141
56,1061.95,0.65295,0.50138,1.12867,0.98279,0.97593,0.98992,0.8693,0.55887,0.32372,0.94446,0.00121316,0.00121316,0.00121316
57,1080.71,0.65157,0.5086,1.12894,0.98279,0.98972,0.99435,0.88783,0.52624,0.2941,0.92201,0.00120491,0.00120491,0.00120491
58,1099.56,0.64954,0.49645,1.12797,0.98806,0.98667,0.9928,0.87302,0.58264,0.31002,0.95385,0.00119666,0.00119666,0.00119666
59,1118.35,0.65164,0.48965,1.11952,0.97241,0.98082,0.98778,0.87049,0.55534,0.32465,0.94598,0.0011884,0.0011884,0.0011884
60,1137.09,0.63584,0.47853,1.11531,0.98525,0.98395,0.99379,0.88337,0.53697,0.30031,0.91512,0.00118015,0.00118015,0.00118015
61,1155.86,0.65163,0.51319,1.12915,0.98413,0.98807,0.99433,0.89202,0.52442,0.29843,0.92075,0.0011719,0.0011719,0.0011719
62,1174.76,0.61185,0.46731,1.10713,0.98011,0.97187,0.99104,0.88355,0.54671,0.31726,0.94609,0.00116365,0.00116365,0.00116365
63,1193.54,0.62413,0.47693,1.10834,0.9804,0.98151,0.98915,0.87888,0.54246,0.30985,0.93039,0.0011554,0.0011554,0.0011554
64,1212.38,0.63273,0.48474,1.10808,0.98557,0.9764,0.99289,0.89839,0.52321,0.29355,0.92449,0.00114715,0.00114715,0.00114715
65,1231.27,0.62538,0.46904,1.1077,0.97966,0.98731,0.99292,0.89154,0.53624,0.30136,0.92184,0.00113889,0.00113889,0.00113889
